site,ido,keido,train,hour,minute,rinji
46,36.32799296,136.4002077,down6,8,35,1
47,36.33860895,136.4188521,down6,8,34,1
48,36.35228964,136.4327134,down6,8,33,1
49,36.37147,136.4419868,down6,8,33,1
50,36.38349462,136.4493079,down6,8,32,1
51,36.39944599,136.4526268,down6,8,32,1
52,36.40281336,136.4527486,down6,8,31,1
53,36.41610106,136.4543839,down6,8,31,1
54,36.42968959,136.4625835,down6,8,30,1
55,36.44429656,136.4800566,down6,8,30,1
56,36.46643737,136.493625,down6,8,29,1
57,36.4834705,136.5069983,down6,8,28,1
58,36.50842473,136.5352089,down6,8,27,1
59,36.5253142,136.5629901,down6,8,26,1
60,36.53535544,136.5850922,down6,8,25,1
61,36.55283912,136.6205407,down6,8,24,1
62,36.56697342,136.6395826,down6,8,23,1
63,36.57823804,136.6475734,down6,8,23,1
1,35.64539102,136.0768759,down7,9,25,
2,35.65929747,136.0950707,down7,9,24,
3,35.68497762,136.1070751,down7,9,23,
4,35.70317626,136.1146778,down7,9,22,
5,35.76586476,136.1402872,down7,9,19,
6,35.81812155,136.1610947,down7,9,17,
7,35.84958885,136.1775007,down7,9,16,
8,35.86416602,136.1882852,down7,9,15,
9,35.88516998,136.195938,down7,9,14,
10,35.89558136,136.1990239,down7,9,14,
11,35.90843921,136.20189,down7,9,14,
12,35.9223765,136.2070656,down7,9,13,
13,35.93421603,136.2145703,down7,9,13,
14,35.94846303,136.2176757,down7,9,12,
15,35.95411921,136.2170287,down7,9,12,
16,35.9687815,136.215476,down7,9,11,
17,36.00602189,136.2232084,down7,9,10,
18,36.01643618,136.2235517,down7,9,9,
19,36.03156916,136.2189168,down7,9,9,
20,36.04413021,136.2178633,down7,9,8,
21,36.05494258,136.2181561,down7,9,8,
22,36.06046657,136.2220607,down7,9,8,
23,36.06215635,136.2235144,down7,9,8,
24,36.06622689,136.2287961,down7,9,6,
25,36.07190789,136.2329936,down7,9,6,
26,36.08208533,136.2370934,down7,9,6,
27,36.09186705,136.244024,down7,9,5,
28,36.10259398,136.2450978,down7,9,5,
29,36.10961302,136.2446097,down7,9,4,
30,36.11978558,136.2442193,down7,9,4,
31,36.12554155,136.2450002,down7,9,4,
32,36.1353967,136.2489048,down7,9,3,
33,36.15037415,136.2528094,down7,9,3,
34,36.16314214,136.250369,down7,9,2,
35,36.17858705,136.2451954,down7,9,2,
36,36.1894597,136.2416813,down7,9,1,
37,36.20513572,136.2361172,down7,9,1,
38,36.21466584,136.2348483,down7,9,0,
39,36.22513975,136.235922,down7,9,0,
40,36.25497877,136.252907,down7,8,58,
41,36.2996766,136.3170399,down7,8,56,
42,36.31713957,136.3385152,down7,8,55,
43,36.32083619,136.3508146,down7,8,54,
44,36.32382481,136.3657497,down7,8,54,
45,36.32421804,136.3843941,down7,8,53,
46,36.32799296,136.4002077,down7,8,53,
47,36.33860895,136.4188521,down7,8,52,
48,36.35228964,136.4327134,down7,8,51,
49,36.37147,136.4419868,down7,8,50,
50,36.38349462,136.4493079,down7,8,50,
51,36.39944599,136.4526268,down7,8,49,
52,36.40281336,136.4527486,down7,8,49,
53,36.41610106,136.4543839,down7,8,49,
54,36.42968959,136.4625835,down7,8,48,
55,36.44429656,136.4800566,down7,8,47,
56,36.46643737,136.493625,down7,8,46,
57,36.4834705,136.5069983,down7,8,45,
58,36.50842473,136.5352089,down7,8,44,
59,36.5253142,136.5629901,down7,8,43,
60,36.53535544,136.5850922,down7,8,42,
61,36.55283912,136.6205407,down7,8,41,
62,36.56697342,136.6395826,down7,8,40,
63,36.57823804,136.6475734,down7,8,40,
1,35.64539102,136.0768759,down8,9,34,
2,35.65929747,136.0950707,down8,9,33,
3,35.68497762,136.1070751,down8,9,32,
4,35.70317626,136.1146778,down8,9,31,
5,35.76586476,136.1402872,down8,9,28,
6,35.81812155,136.1610947,down8,9,26,
7,35.84958885,136.1775007,down8,9,25,
8,35.86416602,136.1882852,down8,9,24,
9,35.88516998,136.195938,down8,9,23,
10,35.89558136,136.1990239,down8,9,23,
11,35.90843921,136.20189,down8,9,21,
12,35.9223765,136.2070656,down8,9,20,
13,35.93421603,136.2145703,down8,9,20,
14,35.94846303,136.2176757,down8,9,19,
15,35.95411921,136.2170287,down8,9,19,
16,35.9687815,136.215476,down8,9,18,
17,36.00602189,136.2232084,down8,9,16,
18,36.01643618,136.2235517,down8,9,16,
19,36.03156916,136.2189168,down8,9,15,
20,36.04413021,136.2178633,down8,9,14,
21,36.05494258,136.2181561,down8,9,14,
22,36.06046657,136.2220607,down8,9,14,
23,36.06215635,136.2235144,down8,9,14,
24,36.06622689,136.2287961,down8,9,12,
25,36.07190789,136.2329936,down8,9,12,
26,36.08208533,136.2370934,down8,9,12,
27,36.09186705,136.244024,down8,9,11,
28,36.10259398,136.2450978,down8,9,11,
29,36.10961302,136.2446097,down8,9,11,
30,36.11978558,136.2442193,down8,9,10,
31,36.12554155,136.2450002,down8,9,10,
32,36.1353967,136.2489048,down8,9,10,
33,36.15037415,136.2528094,down8,9,9,
34,36.16314214,136.250369,down8,9,9,
35,36.17858705,136.2451954,down8,9,8,
36,36.1894597,136.2416813,down8,9,8,
37,36.20513572,136.2361172,down8,9,7,
38,36.21466584,136.2348483,down8,9,7,
39,36.22513975,136.235922,down8,9,6,
40,36.25497877,136.252907,down8,9,5,
41,36.2996766,136.3170399,down8,9,3,
42,36.31713957,136.3385152,down8,9,2,
43,36.32083619,136.3508146,down8,9,1,
44,36.32382481,136.3657497,down8,9,1,
45,36.32421804,136.3843941,down8,9,0,
46,36.32799296,136.4002077,down8,9,0,
47,36.33860895,136.4188521,down8,8,59,
48,36.35228964,136.4327134,down8,8,58,
49,36.37147,136.4419868,down8,8,58,
50,36.38349462,136.4493079,down8,8,57,
51,36.39944599,136.4526268,down8,8,57,
52,36.40281336,136.4527486,down8,8,57,
53,36.41610106,136.4543839,down8,8,55,
54,36.42968959,136.4625835,down8,8,54,
55,36.44429656,136.4800566,down8,8,53,
56,36.46643737,136.493625,down8,8,52,
57,36.4834705,136.5069983,down8,8,51,
58,36.50842473,136.5352089,down8,8,50,
59,36.5253142,136.5629901,down8,8,48,
60,36.53535544,136.5850922,down8,8,48,
61,36.55283912,136.6205407,down8,8,46,
62,36.56697342,136.6395826,down8,8,45,
63,36.57823804,136.6475734,down8,8,45,
1,35.64539102,136.0768759,down9,10,2,
2,35.65929747,136.0950707,down9,10,1,
3,35.68497762,136.1070751,down9,9,59,
4,35.70317626,136.1146778,down9,9,59,
5,35.76586476,136.1402872,down9,9,56,
6,35.81812155,136.1610947,down9,9,53,
7,35.84958885,136.1775007,down9,9,52,
8,35.86416602,136.1882852,down9,9,51,
9,35.88516998,136.195938,down9,9,50,
10,35.89558136,136.1990239,down9,9,50,
11,35.90843921,136.20189,down9,9,48,
12,35.9223765,136.2070656,down9,9,47,
13,35.93421603,136.2145703,down9,9,47,
14,35.94846303,136.2176757,down9,9,46,
15,35.95411921,136.2170287,down9,9,46,
16,35.9687815,136.215476,down9,9,45,
17,36.00602189,136.2232084,down9,9,43,
18,36.01643618,136.2235517,down9,9,43,
19,36.03156916,136.2189168,down9,9,42,
20,36.04413021,136.2178633,down9,9,41,
21,36.05494258,136.2181561,down9,9,41,
22,36.06046657,136.2220607,down9,9,41,
23,36.06215635,136.2235144,down9,9,41,
24,36.06622689,136.2287961,down9,9,39,
25,36.07190789,136.2329936,down9,9,39,
